período,populacao,nome
2022,20539989,MG
2022,2757013,MS
2022,3658649,MT
2022,8120131,PA
2022,3974687,PB
2022,9058931,PE
2022,3271199,PI
2022,11444380,PR
2022,16055174,RJ
2022,3302729,RN
2022,1581196,RO
2022,636707,RR
2022,10882965,RS
2022,7610361,SC
2022,2210004,SE
2022,44411238,SP
2022,1511460,TO
2023,830018,AC
2023,3127683,AL
2023,3941613,AM
2023,733759,AP
2023,14141626,BA
2023,8794957,CE
2023,2817381,DF
2023,3833712,ES
2023,7056495,GO
2023,6776699,MA
2023,20539989,MG
2023,2757013,MS
2023,3658649,MT
2023,8120131,PA
2023,3974687,PB
2023,9056843,PE
2023,3271199,PI
2023,11444380,PR
2023,16055174,RJ
2023,3302729,RN
2023,1581196,RO
2023,636707,RR
2023,10882965,RS
2023,7610361,SC
2023,2210004,SE
2023,44411238,SP
2023,1511460,TO
2024,880631,AC
2024,3220104,AL
2024,4281209,AM
2024,802837,AP
2024,14850513,BA
2024,9233656,CE
2024,2982818,DF
2024,4102129,ES
2024,7350483,GO
2024,7010960,MA
2024,21322691,MG
2024,2901895,MS
2024,3836399,MT
2024,8664306,PA
2024,4145040,PB
2024,9539029,PE
2024,3375646,PI
2024,11824665,PR
2024,17219679,RJ
2024,3446071,RN
2024,1746227,RO
2024,716793,RR
2024,11229915,RS
2024,8058441,SC
2024,2291077,SE
2024,45973194,SP
2024,1577342,TO
2025,5877,
2025,884372,AC
2025,3220848,AL
2025,4321616,AM
2025,806517,AP
2025,14870907,BA
2025,9268836,CE
2025,2996899,DF
2025,4126854,ES
2025,7423629,GO
2025,7018211,MA
2025,21393441,MG
2025,2924631,MS
2025,3887782,MT
2025,8711196,PA
2025,4164468,PB
2025,9562007,PE
2025,3384547,PI
2025,11890517,PR
2025,17223547,RJ
2025,3455236,RN
2025,1751950,RO
2025,738772,RR
2025,11233263,RS
2025,8187029,SC
2025,2299425,SE
2025,46081801,SP
2025,1586859,TO
