cod;nome;período;valor
14;RR;2003;106
53;DF;2003;742
14;RR;2004;85
15;PA;2004;1519
32;ES;2004;1619
17;TO;2004;198
43;RS;2004;1982
24;RN;2004;344
22;PI;2004;327
16;AP;2004;172
29;BA;2004;2262
21;MA;2004;732
27;AL;2004;1035
52;GO;2004;1524
25;PB;2004;675
42;SC;2004;638
31;MG;2004;4286
26;PE;2004;4174
23;CE;2004;1582
12;AC;2004;114
11;RO;2004;563
35;SP;2004;11336
41;PR;2004;2826
51;MT;2004;853
13;AM;2004;526
33;RJ;2004;7731
28;SE;2004;454
50;MS;2004;656
53;DF;2004;696
35;SP;2005;8870
29;BA;2005;2881
27;AL;2005;1203
11;RO;2005;555
53;DF;2005;657
24;RN;2005;406
52;GO;2005;1468
25;PB;2005;745
26;PE;2005;4330
23;CE;2005;1699
12;AC;2005;124
51;MT;2005;907
13;AM;2005;599
28;SE;2005;487
50;MS;2005;631
14;RR;2005;95
15;PA;2005;1926
43;RS;2005;2021
22;PI;2005;368
16;AP;2005;196
17;TO;2005;190
32;ES;2005;1602
33;RJ;2005;7408
31;MG;2005;4223
41;PR;2005;2977
21;MA;2005;935
42;SC;2005;633
17;TO;2006;229
32;ES;2006;1762
53;DF;2006;660
15;PA;2006;2073
14;RR;2006;111
50;MS;2006;683
13;AM;2006;699
11;RO;2006;585
33;RJ;2006;7389
31;MG;2006;4177
41;PR;2006;3098
51;MT;2006;896
12;AC;2006;158
27;AL;2006;1620
35;SP;2006;8377
23;CE;2006;1792
25;PB;2006;825
52;GO;2006;1509
21;MA;2006;969
28;SE;2006;585
29;BA;2006;3311
16;AP;2006;202
22;PI;2006;418
42;SC;2006;666
26;PE;2006;4472
43;RS;2006;1983
24;RN;2006;455
16;AP;2007;172
27;AL;2007;1836
23;CE;2007;1933
22;PI;2007;383
28;SE;2007;522
21;MA;2007;1127
29;BA;2007;3659
41;PR;2007;3105
35;SP;2007;6437
31;MG;2007;4125
33;RJ;2007;6551
32;ES;2007;1877
17;TO;2007;226
42;SC;2007;632
43;RS;2007;2199
15;PA;2007;2194
14;RR;2007;116
50;MS;2007;710
13;AM;2007;715
51;MT;2007;889
12;AC;2007;137
25;PB;2007;864
52;GO;2007;1521
24;RN;2007;589
53;DF;2007;711
11;RO;2007;432
26;PE;2007;4557
41;PR;2008;3445
26;PE;2008;4446
50;MS;2008;699
52;GO;2008;1792
33;RJ;2008;5662
43;RS;2008;2380
21;MA;2008;1277
35;SP;2008;6332
24;RN;2008;714
22;PI;2008;361
42;SC;2008;802
27;AL;2008;1887
13;AM;2008;830
53;DF;2008;812
17;TO;2008;237
29;BA;2008;4819
51;MT;2008;937
31;MG;2008;3889
16;AP;2008;210
28;SE;2008;555
11;RO;2008;480
25;PB;2008;1029
12;AC;2008;133
23;CE;2008;2019
15;PA;2008;2860
32;ES;2008;1947
14;RR;2008;105
25;PB;2009;1263
52;GO;2009;1902
24;RN;2009;800
29;BA;2009;5432
26;PE;2009;3963
23;CE;2009;2165
33;RJ;2009;5365
16;AP;2009;190
14;RR;2009;118
43;RS;2009;2242
53;DF;2009;882
21;MA;2009;1398
27;AL;2009;1873
22;PI;2009;385
11;RO;2009;538
15;PA;2009;2989
50;MS;2009;725
41;PR;2009;3698
35;SP;2009;6557
42;SC;2009;820
13;AM;2009;916
17;TO;2009;289
31;MG;2009;3742
51;MT;2009;1000
12;AC;2009;153
32;ES;2009;1985
28;SE;2009;653
29;BA;2010;5844
43;RS;2010;2085
15;PA;2010;3521
53;DF;2010;786
27;AL;2010;2087
11;RO;2010;546
41;PR;2010;3586
35;SP;2010;6039
21;MA;2010;1519
31;MG;2010;3646
52;GO;2010;1979
24;RN;2010;810
33;RJ;2010;5667
23;CE;2010;2688
25;PB;2010;1455
32;ES;2010;1792
51;MT;2010;972
26;PE;2010;3473
12;AC;2010;165
17;TO;2010;327
13;AM;2010;1082
42;SC;2010;823
50;MS;2010;656
14;RR;2010;121
22;PI;2010;411
16;AP;2010;260
28;SE;2010;676
14;RR;2011;95
23;CE;2011;2792
17;TO;2011;361
53;DF;2011;902
27;AL;2011;2244
41;PR;2011;3376
11;RO;2011;450
28;SE;2011;731
43;RS;2011;2077
13;AM;2011;1292
50;MS;2011;673
33;RJ;2011;4781
35;SP;2011;5842
42;SC;2011;811
21;MA;2011;1591
52;GO;2011;2272
15;PA;2011;3073
22;PI;2011;440
32;ES;2011;1672
12;AC;2011;164
25;PB;2011;1614
16;AP;2011;209
31;MG;2011;4262
24;RN;2011;1054
26;PE;2011;3471
29;BA;2011;5549
51;MT;2011;1009
12;AC;2012;208
51;MT;2012;1074
52;GO;2012;2793
32;ES;2012;1667
41;PR;2012;3489
15;PA;2012;3236
31;MG;2012;4562
14;RR;2012;144
25;PB;2012;1525
27;AL;2012;2046
26;PE;2012;3327
29;BA;2012;6148
17;TO;2012;379
21;MA;2012;1777
13;AM;2012;1344
43;RS;2012;2382
42;SC;2012;821
50;MS;2012;683
35;SP;2012;6566
11;RO;2012;526
22;PI;2012;525
16;AP;2012;253
53;DF;2012;954
33;RJ;2012;4772
23;CE;2012;3841
28;SE;2012;879
24;RN;2012;1124
26;PE;2013;3124
15;PA;2013;3405
21;MA;2013;2163
14;RR;2013;214
22;PI;2013;598
17;TO;2013;349
51;MT;2013;1158
16;AP;2013;225
24;RN;2013;1447
12;AC;2013;234
31;MG;2013;4717
25;PB;2013;1551
53;DF;2013;837
27;AL;2013;2148
32;ES;2013;1622
50;MS;2013;630
11;RO;2013;483
33;RJ;2013;5111
28;SE;2013;965
41;PR;2013;2936
42;SC;2013;789
13;AM;2013;1191
23;CE;2013;4473
29;BA;2013;5694
43;RS;2013;2322
52;GO;2013;2975
35;SP;2013;6035
26;PE;2014;3358
29;BA;2014;6052
35;SP;2014;6185
21;MA;2014;2462
31;MG;2014;4724
33;RJ;2014;5718
32;ES;2014;1609
17;TO;2014;381
28;SE;2014;1097
42;SC;2014;905
16;AP;2014;256
15;PA;2014;3446
22;PI;2014;717
43;RS;2014;2724
14;RR;2014;158
50;MS;2014;700
13;AM;2014;1240
12;AC;2014;232
27;AL;2014;2085
51;MT;2014;1358
25;PB;2014;1551
23;CE;2014;4626
24;RN;2014;1602
52;GO;2014;2887
11;RO;2014;578
53;DF;2014;843
41;PR;2014;2980
28;SE;2015;1303
23;CE;2015;4163
43;RS;2015;2944
13;AM;2015;1472
50;MS;2015;634
31;MG;2015;4532
52;GO;2015;2997
53;DF;2015;742
42;SC;2015;957
41;PR;2015;2936
25;PB;2015;1522
22;PI;2015;650
51;MT;2015;1203
29;BA;2015;6012
15;PA;2015;3675
32;ES;2015;1450
21;MA;2015;2438
12;AC;2015;217
33;RJ;2015;5067
14;RR;2015;203
24;RN;2015;1545
27;AL;2015;1748
11;RO;2015;600
16;AP;2015;293
26;PE;2015;3847
35;SP;2015;5427
17;TO;2015;503
23;CE;2016;3642
21;MA;2016;2408
24;RN;2016;1854
14;RR;2016;204
15;PA;2016;4223
16;AP;2016;381
22;PI;2016;701
26;PE;2016;4447
29;BA;2016;7171
53;DF;2016;760
42;SC;2016;984
50;MS;2016;671
13;AM;2016;1452
28;SE;2016;1465
35;SP;2016;4870
43;RS;2016;3225
11;RO;2016;703
27;AL;2016;1820
17;TO;2016;577
12;AC;2016;363
52;GO;2016;3036
32;ES;2016;1270
41;PR;2016;3080
25;PB;2016;1355
31;MG;2016;4622
51;MT;2016;1180
33;RJ;2016;6053
29;BA;2017;7487
25;PB;2017;1341
15;PA;2017;4575
16;AP;2017;383
12;AC;2017;516
26;PE;2017;5419
14;RR;2017;248
23;CE;2017;5433
33;RJ;2017;6416
50;MS;2017;659
32;ES;2017;1521
28;SE;2017;1313
52;GO;2017;2901
43;RS;2017;3316
41;PR;2017;2759
42;SC;2017;1066
53;DF;2017;610
31;MG;2017;4299
21;MA;2017;2180
22;PI;2017;626
27;AL;2017;1813
24;RN;2017;2203
13;AM;2017;1674
51;MT;2017;1102
17;TO;2017;557
35;SP;2017;4631
11;RO;2017;554
22;PI;2018;619
35;SP;2018;3727
26;PE;2018;4190
16;AP;2018;426
21;MA;2018;1982
50;MS;2018;572
27;AL;2018;1441
42;SC;2018;843
17;TO;2018;570
11;RO;2018;476
12;AC;2018;409
51;MT;2018;989
41;PR;2018;2443
14;RR;2018;414
52;GO;2018;2675
32;ES;2018;1165
43;RS;2018;2699
33;RJ;2018;6455
28;SE;2018;1133
25;PB;2018;1244
15;PA;2018;4528
24;RN;2018;1825
53;DF;2018;530
23;CE;2018;4900
29;BA;2018;6787
13;AM;2018;1542
31;MG;2018;3372
16;AP;2019;361
11;RO;2019;447
24;RN;2019;1346
29;BA;2019;6118
15;PA;2019;3405
43;RS;2019;2184
35;SP;2019;3361
33;RJ;2019;3552
42;SC;2019;767
13;AM;2019;1592
28;SE;2019;973
23;CE;2019;2417
50;MS;2019;491
41;PR;2019;2095
53;DF;2019;480
32;ES;2019;1043
27;AL;2019;1115
51;MT;2019;895
52;GO;2019;2253
21;MA;2019;1704
22;PI;2019;569
14;RR;2019;234
26;PE;2019;3474
31;MG;2019;2893
17;TO;2019;456
12;AC;2019;325
25;PB;2019;953
42;SC;2020;732
35;SP;2020;3396
43;RS;2020;2094
28;SE;2020;981
23;CE;2020;3992
21;MA;2020;2103
53;DF;2020;453
25;PB;2020;1141
32;ES;2020;1229
51;MT;2020;987
15;PA;2020;2809
16;AP;2020;387
50;MS;2020;491
24;RN;2020;1406
29;BA;2020;7076
52;GO;2020;2177
22;PI;2020;674
31;MG;2020;2743
33;RJ;2020;4831
17;TO;2020;484
11;RO;2020;456
12;AC;2020;304
27;AL;2020;1292
26;PE;2020;3786
13;AM;2020;1326
41;PR;2020;2281
14;RR;2020;237
24;RN;2021;1179
50;MS;2021;551
51;MT;2021;888
27;AL;2021;1070
52;GO;2021;1812
33;RJ;2021;4693
23;CE;2021;3471
13;AM;2021;1816
26;PE;2021;3439
35;SP;2021;3094
22;PI;2021;766
32;ES;2021;1253
42;SC;2021;712
31;MG;2021;2577
14;RR;2021;258
25;PB;2021;1144
29;BA;2021;7206
43;RS;2021;1889
12;AC;2021;205
28;SE;2021;790
41;PR;2021;2348
17;TO;2021;441
11;RO;2021;536
16;AP;2021;462
21;MA;2021;1999
53;DF;2021;401
15;PA;2021;2847
53;DF;2022;357
15;PA;2022;2901
17;TO;2022;454
42;SC;2022;671
11;RO;2022;601
28;SE;2022;770
24;RN;2022;1167
22;PI;2022;794
12;AC;2022;238
51;MT;2022;1077
31;MG;2022;2699
41;PR;2022;2600
33;RJ;2022;3762
52;GO;2022;1687
50;MS;2022;550
21;MA;2022;1942
27;AL;2022;1136
23;CE;2022;3030
