cod;nome;período;ValorMulheres;ValorMulheresNegras;ValorMulheresNaoNegras
21;MA;2009;87;67.0;19.0
21;MA;2010;117;99.0;18.0
21;MA;2011;131;109.0;20.0
21;MA;2012;114;96.0;16.0
21;MA;2013;131;107.0;23.0
21;MA;2014;152;129.0;21.0
21;MA;2015;148;115.0;27.0
21;MA;2016;159;133.0;24.0
21;MA;2017;127;113.0;12.0
21;MA;2018;122;109.0;11.0
21;MA;2019;114;93.0;19.0
21;MA;2020;140;123.0;16.0
21;MA;2021;131;110.0;18.0
21;MA;2022;127;114.0;11.0
21;MA;2023;139;111.0;24.0
22;PI;1989;17;;
22;PI;1990;5;;
22;PI;1991;11;;
22;PI;1992;10;;
22;PI;1993;13;;
22;PI;1994;10;;
22;PI;1995;19;;
22;PI;1996;14;0.0;0.0
22;PI;1997;13;8.0;3.0
22;PI;1998;20;12.0;5.0
22;PI;1999;7;6.0;0.0
22;PI;2000;14;8.0;3.0
22;PI;2001;35;24.0;7.0
22;PI;2002;27;18.0;6.0
22;PI;2003;32;24.0;7.0
22;PI;2004;26;14.0;10.0
22;PI;2005;40;29.0;8.0
22;PI;2006;32;28.0;4.0
22;PI;2007;35;24.0;9.0
22;PI;2008;38;31.0;6.0
22;PI;2009;31;22.0;7.0
22;PI;2010;40;28.0;10.0
22;PI;2011;32;28.0;4.0
22;PI;2012;46;40.0;5.0
22;PI;2013;47;36.0;10.0
22;PI;2014;63;51.0;4.0
22;PI;2015;67;56.0;8.0
22;PI;2016;50;43.0;3.0
22;PI;2017;52;39.0;9.0
22;PI;2018;52;43.0;5.0
22;PI;2019;47;35.0;11.0
22;PI;2020;54;41.0;10.0
22;PI;2021;68;53.0;13.0
22;PI;2022;67;60.0;7.0
22;PI;2023;66;61.0;5.0
23;CE;1989;47;;
23;CE;1990;45;;
23;CE;1991;53;;
23;CE;1992;42;;
23;CE;1993;61;;
23;CE;1994;59;;
23;CE;1995;55;;
23;CE;1996;84;0.0;0.0
23;CE;1997;85;20.0;7.0
23;CE;1998;56;11.0;11.0
23;CE;1999;91;34.0;19.0
23;CE;2000;106;51.0;29.0
23;CE;2001;114;58.0;21.0
23;CE;2002;125;48.0;16.0
23;CE;2003;103;40.0;10.0
23;CE;2004;123;44.0;15.0
23;CE;2005;143;45.0;16.0
23;CE;2006;134;65.0;17.0
23;CE;2007;126;84.0;27.0
23;CE;2008;117;74.0;18.0
23;CE;2009;138;80.0;25.0
23;CE;2010;173;111.0;27.0
23;CE;2011;189;106.0;24.0
23;CE;2012;219;110.0;26.0
23;CE;2013;278;125.0;34.0
23;CE;2014;285;145.0;25.0
23;CE;2015;254;154.0;21.0
23;CE;2016;218;149.0;14.0
23;CE;2017;374;325.0;32.0
23;CE;2018;475;426.0;47.0
23;CE;2019;221;199.0;21.0
23;CE;2020;319;295.0;21.0
23;CE;2021;336;299.0;36.0
23;CE;2022;275;245.0;28.0
23;CE;2023;248;218.0;30.0
24;RN;1989;14;;
24;RN;1990;20;;
24;RN;1991;17;;
24;RN;1992;15;;
24;RN;1993;21;;
24;RN;1994;19;;
24;RN;1995;30;;
24;RN;1996;35;0.0;0.0
24;RN;1997;27;10.0;12.0
24;RN;1998;20;7.0;8.0
24;RN;1999;24;13.0;7.0
24;RN;2000;22;10.0;11.0
24;RN;2001;24;17.0;5.0
24;RN;2002;23;12.0;9.0
24;RN;2003;32;16.0;14.0
24;RN;2004;21;13.0;4.0
24;RN;2005;41;27.0;9.0
24;RN;2006;42;27.0;10.0
24;RN;2007;42;25.0;11.0
24;RN;2008;59;48.0;7.0
24;RN;2009;57;38.0;17.0
24;RN;2010;71;51.0;13.0
24;RN;2011;76;56.0;11.0
24;RN;2012;64;42.0;16.0
24;RN;2013;89;59.0;20.0
24;RN;2014;102;71.0;21.0
24;RN;2015;92;76.0;9.0
24;RN;2016;100;74.0;19.0
24;RN;2017;148;129.0;17.0
24;RN;2018;102;85.0;14.0
24;RN;2019;98;84.0;11.0
24;RN;2020;81;66.0;13.0
24;RN;2021;70;59.0;10.0
24;RN;2022;71;57.0;12.0
24;RN;2023;63;54.0;9.0
25;PB;1989;52;;
25;PB;1990;41;;
25;PB;1991;40;;
25;PB;1992;36;;
25;PB;1993;26;;
25;PB;1994;28;;
25;PB;1995;66;;
25;PB;1996;106;0.0;0.0
25;PB;1997;42;8.0;1.0
25;PB;1998;41;5.0;6.0
25;PB;1999;34;7.0;13.0
25;PB;2000;44;32.0;7.0
25;PB;2001;45;31.0;9.0
25;PB;2002;46;26.0;7.0
25;PB;2003;35;25.0;4.0
25;PB;2004;60;47.0;5.0
25;PB;2005;62;45.0;7.0
25;PB;2006;62;49.0;9.0
25;PB;2007;69;55.0;8.0
25;PB;2008;87;76.0;8.0
25;PB;2009;98;84.0;10.0
25;PB;2010;119;98.0;8.0
25;PB;2011;140;117.0;18.0
25;PB;2012;137;119.0;8.0
25;PB;2013;126;104.0;12.0
25;PB;2014;117;98.0;13.0
25;PB;2015;111;84.0;14.0
25;PB;2016;107;88.0;15.0
25;PB;2017;88;76.0;11.0
25;PB;2018;82;71.0;10.0
25;PB;2019;72;53.0;11.0
25;PB;2020;94;75.0;16.0
25;PB;2021;83;63.0;15.0
25;PB;2022;84;65.0;14.0
25;PB;2023;79;55.0;18.0
26;PE;1989;173;;
26;PE;1990;219;;
26;PE;1991;232;;
26;PE;1992;171;;
26;PE;1993;218;;
26;PE;1994;191;;
26;PE;1995;205;;
26;PE;1996;245;0.0;0.0
26;PE;1997;243;37.0;33.0
26;PE;1998;277;65.0;60.0
26;PE;1999;265;143.0;55.0
26;PE;2000;310;202.0;70.0
26;PE;2001;294;206.0;55.0
26;PE;2002;274;178.0;75.0
26;PE;2003;274;187.0;53.0
26;PE;2004;276;206.0;56.0
26;PE;2005;282;226.0;37.0
26;PE;2006;310;261.0;37.0
26;PE;2007;290;241.0;36.0
26;PE;2008;298;245.0;45.0
26;PE;2009;304;252.0;42.0
26;PE;2010;247;197.0;29.0
26;PE;2011;261;223.0;21.0
26;PE;2012;216;185.0;21.0
26;PE;2013;256;224.0;27.0
26;PE;2014;239;203.0;33.0
26;PE;2015;233;198.0;32.0
26;PE;2016;282;238.0;39.0
26;PE;2017;310;257.0;50.0
26;PE;2018;240;189.0;46.0
26;PE;2019;204;158.0;45.0
26;PE;2020;223;181.0;40.0
26;PE;2021;245;195.0;45.0
26;PE;2022;229;184.0;44.0
26;PE;2023;290;240.0;128.0
27;AL;1989;66;;
27;AL;1990;55;;
27;AL;1991;67;;
27;AL;1992;53;;
27;AL;1993;50;;
27;AL;1994;48;;
27;AL;1995;62;;
27;AL;1996;70;0.0;0.0
27;AL;1997;62;8.0;4.0
27;AL;1998;45;18.0;8.0
27;AL;1999;55;30.0;7.0
27;AL;2000;64;46.0;10.0
27;AL;2001;54;31.0;11.0
27;AL;2002;70;39.0;7.0
27;AL;2003;67;39.0;5.0
27;AL;2004;75;42.0;9.0
27;AL;2005;74;46.0;8.0
27;AL;2006;106;66.0;6.0
27;AL;2007;109;68.0;11.0
27;AL;2008;83;71.0;3.0
27;AL;2009;111;96.0;2.0
27;AL;2010;137;104.0;6.0
27;AL;2011;138;114.0;7.0
27;AL;2012;133;116.0;12.0
27;AL;2013;142;117.0;18.0
27;AL;2014;125;118.0;4.0
27;AL;2015;95;90.0;1.0
27;AL;2016;101;91.0;6.0
27;AL;2017;111;104.0;1.0
27;AL;2018;67;55.0;3.0
27;AL;2019;90;89.0;0.0
27;AL;2020;89;88.0;0.0
27;AL;2021;65;65.0;0.0
27;AL;2022;77;72.0;4.0
27;AL;2023;75;71.0;2.0
28;SE;1989;15;;
28;SE;1990;13;;
28;SE;1991;21;;
28;SE;1992;28;;
28;SE;1993;25;;
28;SE;1994;32;;
28;SE;1995;27;;
28;SE;1996;30;0.0;0.0
28;SE;1997;18;3.0;3.0
28;SE;1998;13;5.0;2.0
28;SE;1999;40;12.0;7.0
28;SE;2000;37;15.0;5.0
