cod;nome;período;valor;populacao
32.0;ES;1997;1416.0;2853098.0
32.0;ES;1998;1675.0;2895547.0
32.0;ES;1999;1524.0;2938062.0
32.0;ES;2000;1435.0;3097497.0
32.0;ES;2001;1452.0;3155016.0
32.0;ES;2002;1644.0;3201722.0
32.0;ES;2003;1629.0;3250219.0
32.0;ES;2004;1619.0;3352024.0
32.0;ES;2005;1602.0;3408365.0
32.0;ES;2006;1762.0;3464285.0
32.0;ES;2007;1877.0;3351669.0
32.0;ES;2008;1947.0;3453648.0
32.0;ES;2009;1985.0;3487199.0
32.0;ES;2010;1792.0;3514952.0
32.0;ES;2011;1672.0;3547055.0
32.0;ES;2012;1667.0;3578067.0
32.0;ES;2013;1622.0;3839366.0
32.0;ES;2014;1609.0;3885049.0
32.0;ES;2015;1450.0;3929911.0
32.0;ES;2016;1270.0;3973697.0
32.0;ES;2017;1521.0;4016356.0
32.0;ES;2018;1165.0;3972388.0
32.0;ES;2019;1043.0;4018650.0
32.0;ES;2020;1229.0;4064052.0
32.0;ES;2021;1253.0;4108508.0
32.0;ES;2022;1147.0;3833712.0
32.0;ES;2023;1161.0;3833712.0
;ES;2024;;4102129.0
;ES;2025;;4126854.0
52.0;GO;1989;810.0;
52.0;GO;1990;681.0;
52.0;GO;1991;852.0;4017506.0
52.0;GO;1992;828.0;4098513.0
52.0;GO;1993;734.0;4171489.0
52.0;GO;1994;774.0;4240812.0
52.0;GO;1995;784.0;4308415.0
52.0;GO;1996;782.0;4514967.0
52.0;GO;1997;744.0;4639785.0
52.0;GO;1998;704.0;4744174.0
52.0;GO;1999;853.0;4848725.0
52.0;GO;2000;1085.0;5004196.0
52.0;GO;2001;1167.0;5116462.0
52.0;GO;2002;1370.0;5210335.0
52.0;GO;2003;1346.0;5306459.0
52.0;GO;2004;1524.0;5508245.0
52.0;GO;2005;1468.0;5619917.0
52.0;GO;2006;1509.0;5730753.0
52.0;GO;2007;1521.0;5647035.0
52.0;GO;2008;1792.0;5844996.0
52.0;GO;2009;1902.0;5926300.0
52.0;GO;2010;1979.0;6003788.0
52.0;GO;2011;2272.0;6080716.0
52.0;GO;2012;2793.0;6154996.0
52.0;GO;2013;2975.0;6434048.0
52.0;GO;2014;2887.0;6523222.0
52.0;GO;2015;2997.0;6610681.0
52.0;GO;2016;3036.0;6695855.0
52.0;GO;2017;2901.0;6778772.0
52.0;GO;2018;2675.0;6921161.0
52.0;GO;2019;2253.0;7018354.0
52.0;GO;2020;2177.0;7113540.0
52.0;GO;2021;1812.0;7206589.0
52.0;GO;2022;1687.0;7056495.0
52.0;GO;2023;1583.0;7056495.0
;GO;2024;;7350483.0
;GO;2025;;7423629.0
21.0;MA;1989;411.0;
21.0;MA;1990;442.0;
21.0;MA;1991;470.0;4929676.0
21.0;MA;1992;427.0;4990749.0
21.0;MA;1993;394.0;5088898.0
21.0;MA;1994;314.0;5160974.0
21.0;MA;1995;385.0;5231261.0
21.0;MA;1996;363.0;5222183.0
21.0;MA;1997;333.0;5295452.0
21.0;MA;1998;278.0;5356853.0
21.0;MA;1999;262.0;5418349.0
21.0;MA;2000;352.0;5657553.0
21.0;MA;2001;563.0;5730467.0
21.0;MA;2002;606.0;5803224.0
21.0;MA;2003;795.0;5873655.0
21.0;MA;2004;732.0;6021504.0
21.0;MA;2005;935.0;6103327.0
21.0;MA;2006;969.0;6184538.0
21.0;MA;2007;1127.0;6118995.0
21.0;MA;2008;1277.0;6305539.0
21.0;MA;2009;1398.0;6367138.0
21.0;MA;2010;1519.0;6574789.0
21.0;MA;2011;1591.0;6645761.0
21.0;MA;2012;1777.0;6714314.0
21.0;MA;2013;2163.0;6794301.0
21.0;MA;2014;2462.0;6850884.0
21.0;MA;2015;2438.0;6904241.0
21.0;MA;2016;2408.0;6954036.0
21.0;MA;2017;2180.0;7000229.0
21.0;MA;2018;1982.0;7035055.0
21.0;MA;2019;1704.0;7075181.0
21.0;MA;2020;2103.0;7114598.0
21.0;MA;2021;1999.0;7153262.0
21.0;MA;2022;1942.0;6776699.0
21.0;MA;2023;2007.0;6776699.0
;MA;2024;;7010960.0
;MA;2025;;7018211.0
31.0;MG;1989;1216.0;
31.0;MG;1990;1178.0;
31.0;MG;1991;1232.0;15743536.0
31.0;MG;1992;1131.0;15941939.0
31.0;MG;1993;1211.0;16144856.0
31.0;MG;1994;1118.0;16327360.0
31.0;MG;1995;1214.0;16505334.0
31.0;MG;1996;1261.0;16672613.0
31.0;MG;1997;1347.0;16904977.0
31.0;MG;1998;1511.0;17100314.0
31.0;MG;1999;1596.0;17295955.0
31.0;MG;2000;2109.0;17905135.0
31.0;MG;2001;2366.0;18127096.0
31.0;MG;2002;2994.0;18343517.0
31.0;MG;2003;3869.0;18553312.0
31.0;MG;2004;4286.0;18993720.0
31.0;MG;2005;4223.0;19237450.0
31.0;MG;2006;4177.0;19479356.0
31.0;MG;2007;4125.0;19273533.0
31.0;MG;2008;3889.0;19850072.0
31.0;MG;2009;3742.0;20033665.0
31.0;MG;2010;3646.0;19597330.0
31.0;MG;2011;4262.0;19728701.0
31.0;MG;2012;4562.0;19855332.0
31.0;MG;2013;4717.0;20593356.0
31.0;MG;2014;4724.0;20734097.0
31.0;MG;2015;4532.0;20869101.0
