cod;nome;período;ValorHomens;ValorHomensNegros;ValorHomensNaoNegros
26;PE;1999;3949;2186.0;528.0
26;PE;2000;3980;3003.0;476.0
26;PE;2001;4409;3441.0;491.0
26;PE;2002;4118;3395.0;459.0
26;PE;2003;4243;3375.0;493.0
26;PE;2004;3898;3224.0;388.0
26;PE;2005;4048;3291.0;414.0
26;PE;2006;4162;3632.0;351.0
26;PE;2007;4262;3790.0;246.0
26;PE;2008;4140;3641.0;387.0
26;PE;2009;3656;3208.0;328.0
26;PE;2010;3226;2803.0;228.0
26;PE;2011;3202;2790.0;200.0
26;PE;2012;3106;2805.0;161.0
26;PE;2013;2867;2572.0;196.0
26;PE;2014;3113;2704.0;344.0
26;PE;2015;3606;3173.0;370.0
26;PE;2016;4160;3618.0;490.0
26;PE;2017;5104;4462.0;580.0
26;PE;2018;3942;3387.0;509.0
26;PE;2019;3265;2749.0;477.0
26;PE;2020;3558;3040.0;497.0
26;PE;2021;3191;2641.0;515.0
26;PE;2022;3173;2658.0;480.0
26;PE;2023;3400;2866.0;834.0
27;AL;1989;739;;
27;AL;1990;663;;
27;AL;1991;590;;
27;AL;1992;538;;
27;AL;1993;569;;
27;AL;1994;567;;
27;AL;1995;680;;
27;AL;1996;671;0.0;0.0
27;AL;1997;580;124.0;43.0
27;AL;1998;537;216.0;47.0
27;AL;1999;499;338.0;47.0
27;AL;2000;663;487.0;92.0
27;AL;2001;775;557.0;95.0
27;AL;2002;921;616.0;99.0
27;AL;2003;972;591.0;58.0
27;AL;2004;960;666.0;43.0
27;AL;2005;1129;766.0;61.0
27;AL;2006;1514;1012.0;62.0
27;AL;2007;1727;1179.0;65.0
27;AL;2008;1804;1465.0;55.0
27;AL;2009;1762;1499.0;46.0
27;AL;2010;1950;1592.0;42.0
27;AL;2011;2106;1899.0;67.0
27;AL;2012;1913;1789.0;73.0
27;AL;2013;2005;1845.0;94.0
27;AL;2014;1960;1829.0;71.0
27;AL;2015;1653;1566.0;54.0
27;AL;2016;1718;1665.0;28.0
27;AL;2017;1702;1636.0;29.0
27;AL;2018;1374;1120.0;22.0
27;AL;2019;1025;993.0;9.0
27;AL;2020;1203;1165.0;10.0
27;AL;2021;1005;979.0;12.0
27;AL;2022;1059;1029.0;14.0
27;AL;2023;1119;1090.0;6.0
28;SE;1989;124;;
28;SE;1990;138;;
28;SE;1991;287;;
28;SE;1992;420;;
28;SE;1993;286;;
28;SE;1994;307;;
28;SE;1995;227;;
28;SE;1996;207;0.0;0.0
28;SE;1997;172;47.0;14.0
28;SE;1998;162;79.0;12.0
28;SE;1999;288;101.0;32.0
28;SE;2000;373;171.0;62.0
28;SE;2001;487;256.0;80.0
28;SE;2002;519;362.0;61.0
28;SE;2003;435;262.0;54.0
28;SE;2004;424;255.0;43.0
28;SE;2005;459;323.0;69.0
28;SE;2006;545;384.0;76.0
28;SE;2007;488;350.0;66.0
28;SE;2008;525;383.0;65.0
28;SE;2009;617;454.0;65.0
28;SE;2010;633;533.0;52.0
28;SE;2011;671;621.0;49.0
28;SE;2012;817;748.0;65.0
28;SE;2013;908;829.0;76.0
28;SE;2014;1023;938.0;79.0
28;SE;2015;1233;1157.0;72.0
28;SE;2016;1404;1330.0;73.0
28;SE;2017;1236;1168.0;67.0
28;SE;2018;1093;1045.0;48.0
28;SE;2019;920;884.0;36.0
28;SE;2020;938;891.0;44.0
28;SE;2021;751;707.0;44.0
28;SE;2022;734;696.0;37.0
28;SE;2023;657;617.0;35.0
29;BA;1989;1000;;
29;BA;1990;782;;
29;BA;1991;528;;
29;BA;1992;758;;
29;BA;1993;1364;;
29;BA;1994;1551;;
29;BA;1995;1360;;
29;BA;1996;1707;0.0;0.0
29;BA;1997;1805;120.0;14.0
29;BA;1998;1169;248.0;44.0
29;BA;1999;823;305.0;88.0
29;BA;2000;1108;802.0;79.0
29;BA;2001;1500;1130.0;132.0
29;BA;2002;1634;1209.0;134.0
29;BA;2003;2014;1565.0;140.0
29;BA;2004;2064;1704.0;139.0
29;BA;2005;2669;2216.0;150.0
29;BA;2006;3065;2624.0;183.0
29;BA;2007;3408;2909.0;233.0
29;BA;2008;4485;3876.0;311.0
29;BA;2009;5078;4455.0;301.0
29;BA;2010;5398;4781.0;332.0
29;BA;2011;5089;4402.0;374.0
29;BA;2012;5702;4989.0;395.0
29;BA;2013;5260;4709.0;330.0
29;BA;2014;5659;5095.0;367.0
29;BA;2015;5619;5112.0;333.0
29;BA;2016;6728;6132.0;392.0
29;BA;2017;6986;6377.0;428.0
29;BA;2018;6351;5717.0;386.0
29;BA;2019;5717;5264.0;303.0
29;BA;2020;6627;6124.0;360.0
29;BA;2021;6740;6302.0;351.0
29;BA;2022;6359;5891.0;384.0
29;BA;2023;6147;5675.0;310.0
31;MG;1989;1047;;
31;MG;1990;1029;;
31;MG;1991;1071;;
31;MG;1992;972;;
31;MG;1993;1028;;
31;MG;1994;941;;
31;MG;1995;1057;;
31;MG;1996;1075;0.0;2.0
31;MG;1997;1168;519.0;262.0
31;MG;1998;1310;700.0;363.0
31;MG;1999;1373;732.0;368.0
31;MG;2000;1857;1126.0;541.0
31;MG;2001;2124;1304.0;673.0
31;MG;2002;2700;1776.0;783.0
31;MG;2003;3493;2340.0;996.0
31;MG;2004;3913;2686.0;1063.0
31;MG;2005;3846;2658.0;999.0
31;MG;2006;3783;2520.0;1103.0
31;MG;2007;3722;2528.0;1030.0
31;MG;2008;3511;2407.0;938.0
31;MG;2009;3340;2261.0;923.0
31;MG;2010;3236;2256.0;797.0
31;MG;2011;3804;2622.0;1061.0
31;MG;2012;4100;2896.0;1102.0
31;MG;2013;4286;3076.0;1118.0
31;MG;2014;4319;3153.0;1075.0
31;MG;2015;4114;3033.0;1009.0
31;MG;2016;4246;3099.0;1054.0
31;MG;2017;3911;2885.0;974.0
31;MG;2018;3022;2265.0;728.0
31;MG;2019;2598;1938.0;648.0
31;MG;2020;2473;1789.0;660.0
31;MG;2021;2327;1688.0;611.0
31;MG;2022;2425;1801.0;593.0
31;MG;2023;2515;1865.0;612.0
32;ES;1989;763;;
32;ES;1990;791;;
32;ES;1991;872;;
32;ES;1992;751;;
32;ES;1993;995;;
32;ES;1994;1053;;
32;ES;1995;1031;;
32;ES;1996;1067;0.0;0.0
32;ES;1997;1287;262.0;105.0
32;ES;1998;1508;328.0;156.0
32;ES;1999;1396;554.0;208.0
32;ES;2000;1322;624.0;237.0
32;ES;2001;1319;680.0;222.0
